n,Gal Keys (KB),Query size (KB),Response size (KB),Response generation time (s)
4,670.12,64.00,64.00,1.13
8,670.15,64.00,64.00,1.08
16,670.09,64.00,64.00,0.91
32,670.13,64.00,64.00,0.98
64,670.07,64.00,64.00,1.04
128,670.18,64.00,64.00,0.97
256,670.14,64.00,64.00,1.26
512,670.03,64.00,64.00,1.14
1024,670.02,64.00,64.00,0.99
2048,670.07,64.00,64.00,0.95
4096,670.13,128.00,64.00,1.08
8192,670.16,256.00,64.00,1.00
16384,670.09,512.00,64.00,1.87
32768,670.07,1024.00,64.00,2.31
65536,670.15,2048.00,64.00,3.60
131072,670.08,4096.00,64.00,4.45
262144,670.08,8192.00,64.00,6.24
524288,670.14,16384.00,64.00,17.17
1048576,670.14,32768.00,64.00,17.49
